district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_total,pop_white,pop_hispanic,pop_black,pop_asian,pop_native,pop_pacific,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
GA-01,GA,1,270525,116453,146062,281941,122761,154317,334885,151592,178452,362134,160069,199975,765246,426579,58548,244912,24547,15896,2787,591570,346902,39080,177590,18392,11682,1790,95555,104622,121449,106853,90545,91124,81967,52639,23952,43578,90601,7103,145465,40785,51528,10042,116585,27426,11164,19613,20358,10089,12937,14417,10885,12187,10889,11927,23452,29027,38553,18980,17025
GA-02,GA,2,281169,152575,123277,280959,152427,125580,316409,175769,137768,313623,170590,141760,765483,300704,45194,400045,14355,11932,1912,588186,248136,29984,294263,10524,8857,1262,96412,105603,109007,99679,87426,91453,89169,52866,28664,45794,61196,5031,164551,29912,77452,8131,110174,21272,20639,13441,12260,15559,17102,14592,15009,13320,11859,12833,21096,27827,31947,10782,26744
GA-03,GA,3,314616,95969,210426,328700,102841,220962,383484,127012,252114,421744,139350,280171,765121,494877,37892,197738,21241,15254,1192,588050,392814,24648,144472,15150,11428,773,91779,104213,98265,97875,97488,104354,91197,55793,26299,49002,83681,6921,166767,40949,54371,11434,109918,30228,10682,21001,22746,10335,10797,9696,10530,11144,10967,9477,20531,27718,40420,23902,14093
GA-04,GA,4,278092,211739,58073,291850,224638,62306,332780,263832,65290,326811,253269,70128,765047,169176,135225,396279,65836,15514,1127,581116,142298,89700,299671,48958,11233,803,98060,102350,108877,119149,102045,96043,74144,38674,18055,43354,121827,10499,112457,59486,56591,13745,89254,24867,7370,18704,22350,8110,10304,11093,12204,11063,10720,11219,21058,27364,36196,28697,11482
GA-05,GA,5,303250,248728,44211,318896,260156,53052,363134,304807,54006,368530,307802,57036,766015,262145,60073,397853,44130,11388,1087,620804,227069,43597,310790,36775,8808,877,84500,83714,142968,128948,93456,85359,69614,40200,20336,30708,148316,14719,102723,76775,43568,25105,76268,27913,15832,20507,25845,12881,12571,12280,12174,10110,11352,11179,20571,25425,37816,47845,23620
GA-06,GA,6,346117,144380,185300,363344,160761,193609,422147,211815,203781,428780,213533,209716,765252,454071,77925,116552,104101,12867,1134,587223,363658,53366,86200,73748,9352,792,89088,113911,80040,99497,114654,115980,82190,46284,21699,30845,197353,12902,61921,98592,21590,20826,76435,29365,3971,24895,37095,4554,5228,5131,5421,6295,6653,6344,14695,19653,34079,75720,8471
GA-07,GA,7,270489,128305,131250,289022,147480,134877,345155,191349,148883,351821,193510,153934,764730,278729,156961,207335,120466,15828,1333,569786,224699,105330,145348,91515,11255,878,103818,122990,100719,101059,112872,107175,72646,39454,15785,46567,132251,8247,108330,53461,53721,10424,85279,28876,5569,23113,27269,6187,5645,8773,7511,7903,8694,8499,17283,24010,34796,32776,9263
GA-08,GA,8,264467,75733,184256,267946,75089,190375,310477,91669,216223,319286,87982,230359,764185,463038,60274,222456,9283,12816,1069,582958,368232,39416,161057,6670,9567,737,96184,110224,102397,95958,94359,94266,88580,55765,27027,44755,48646,3500,195074,22381,86294,6489,98366,21500,18394,11993,12455,18034,15433,15833,15046,11866,12431,10998,21167,25959,31305,8908,23550
GA-09,GA,9,288810,57850,222495,306686,64785,236345,369381,85600,279092,423045,99404,321349,764579,552769,98801,77813,17970,19372,945,589546,445206,62676,54977,12869,14401,600,89846,107273,97074,93219,97261,101485,93288,63769,27810,41613,76547,6044,167302,31367,81389,9589,110112,27810,10224,18729,20449,10401,11396,11332,11143,10413,11662,11055,19960,27657,39066,19536,12257
GA-10,GA,10,293026,198856,85169,307945,215645,86749,355543,258069,93044,364827,266618,95283,765833,206642,105646,422029,27301,14495,1132,587199,176625,69862,314360,20938,10821,771,98061,103945,114598,120557,108462,94786,73303,39385,17439,43957,130134,6855,119904,56401,47548,11463,99468,30945,7977,22356,26130,7500,8616,9700,10498,11561,10395,12047,23164,30324,43072,28966,12757
