district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
MN-06,MN,6,361787,122297,207900,350301,137941,193732,414967,165870,238883,431989,168595,253243,28577,41293,26489,12815,917,713312,599561,528178,458504,16060,22856,18453,8485,596,95050,106586,87475,95693,94884,97311,78044,42516,18338,61268,111154,5172,118174,37684,24698,7262,101534,32360,4712,26129,35104,5538,5798,6493,6645,6811,6909,7650,16526,22270,36421,34168,6424
MN-07,MN,7,364232,106539,230288,339981,119846,205804,396627,128550,260006,401008,123652,269504,9584,16383,37738,18421,1514,713312,628503,544716,493732,22080,8837,5994,11372,890,90211,94422,80264,82349,77107,91036,97432,60449,39874,73402,82007,3916,154586,23776,33972,5915,109029,31928,11234,21923,21633,11449,11064,11128,11814,10326,11766,11144,22644,28893,42694,16476,12315
MN-08,MN,8,380392,150308,198831,366105,164717,183107,421856,182463,230053,431794,180905,242420,10168,14736,13630,49238,953,713312,620371,561116,500876,8326,9010,6585,31414,581,79404,88964,84121,83330,80613,95837,105225,63219,34809,65490,88718,5239,149670,32756,30617,7748,121654,30876,11725,22966,23597,9857,11020,10776,11879,11194,11158,11673,23012,29331,40451,18987,12404
MO-01,MO,1,352251,264225,72723,345270,266749,69832,356554,280382,70459,316509,246418,64299,31648,373011,34678,14081,887,769364,318770,609962,275838,24149,274562,25535,10938,665,89122,94003,119231,113759,89619,91792,92902,49762,27799,41074,107539,11153,136399,58074,47293,14854,114545,28578,18281,17516,19019,15069,14426,16400,16665,15850,13816,15238,28158,34370,40781,21590,24655
MO-02,MO,2,400242,152991,227850,405453,172451,222281,429923,187579,235264,420917,182976,230848,44611,31657,22242,16409,833,769364,648395,603006,518559,14600,21318,31414,12109,540,87087,94352,82676,93371,91353,106689,103796,66926,36500,44662,141556,11120,118596,73418,33036,17178,101477,32177,6989,25128,31492,7942,9090,9069,9841,9364,10691,10514,20073,27458,39507,48299,9056
MO-03,MO,3,360946,126718,214461,368074,146075,210327,397528,158177,231359,406941,159749,240977,25692,56762,28760,19241,1212,769364,634019,594774,501879,18809,37578,18178,14093,800,92097,102502,110481,102716,95494,96500,91156,53060,27153,43816,119139,8431,140997,54437,32800,9811,106423,33978,8001,24329,31607,7545,8703,8861,10255,9409,10345,11452,20799,27135,41546,30322,11991
MO-04,MO,4,350749,125028,208388,360734,141746,208305,392866,155951,229889,395017,153232,236509,18319,66422,42681,25444,2411,769364,613869,599570,489976,28651,45836,13340,18658,1447,91331,99550,103254,102892,88891,95731,96481,60836,31903,43160,108266,6058,160137,48100,37730,11474,116359,29814,12559,22285,25079,11794,13252,11588,12716,12587,12366,12248,23715,29869,41425,23436,13687
MO-05,MO,5,321480,129796,175707,321200,137338,173277,343089,143602,192560,332891,133438,194505,13549,150123,65069,25018,3887,769364,515400,588634,411612,41398,105776,9492,18585,2536,96732,106257,103565,99644,88039,96186,92157,55730,31206,43421,75998,3862,184511,31479,55182,5464,113943,29095,14488,17916,16664,14074,13645,13517,15596,14886,13396,12670,24941,31982,41797,10599,17016
MO-06,MO,6,341473,112272,210557,343644,126291,206371,374135,137236,230188,377140,135780,236206,19406,52169,44018,21880,3556,769364,628405,588867,493931,28485,33395,13386,16041,2084,94573,104055,99164,100805,93272,97371,90933,57664,30594,42153,97615,5297,173227,40106,41203,7978,111986,30783,10705,20407,23129,10561,12006,12419,11849,11606,12016,11955,21978,30444,43288,19421,13933
MO-07,MO,7,330930,82189,232326,337712,94228,232969,364372,103422,254241,376524,105653,266226,16582,25660,47001,37210,4168,769365,636951,594947,505834,29527,15694,11381,27157,2661,92781,102699,109500,96555,89423,94707,92192,61228,32924,41527,89084,4607,166617,35201,49848,8537,122482,26942,16816,15617,16082,14086,14610,16387,15697,14394,15316,13883,26687,33034,41411,14236,15425
MO-08,MO,8,343378,77849,252499,340782,87594,244127,366690,86665,274776,369388,83353,282416,9529,42819,18619,24152,916,769364,668098,595852,526013,11554,28048,6779,18170,593,92109,100934,95041,95581,90692,101623,100819,62032,32868,45516,65400,4172,199949,29219,67871,5211,111331,25460,17774,16905,15108,14857,15560,15751,15443,13313,12469,12957,23443,30669,39139,11134,17137
